item,brand,retail,release,lowestAsk,highestBid,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,img_path
Air Jordan 4 Retro SB Pine Green,Jordan,225,2023-03-21,325,480,952,280,0.061347,5408,0.542,388,347,feetflix/Jordan 4 Retro SB Pine Green.jpg
Air Jordan 3 Retro White Cement Reimagined,Jordan,210,2023-03-11,190,280,757,150,0.115522,16894,0.111,297,234,feetflix/Jordan 3 Retro White Cement Reimagined.jpg
Nike Air Force 1 Low Tiffany & Co.,Nike,400,2023-03-07,893,1526,4831,705,0.232434,4711,1.125,1160,850,feetflix/Nike Air Force 1 Low Tiffany & Co. 1837.jpg
Nike Air Max 1 '86 Big Bubble Sport Red,Nike,150,2023-03-26,177,200,550,150,0.095096,603,0.2,228,180,feetflix/Nike Air Max 1 '86 Big Bubble Sport Red.jpg
MSCHF Big Red Boot,MSCHF,350,2023-02-16,570,611,2445,498,0.186197,323,1.373,883,831,feetflix/MSCHF Big Red Boot.jpg
New Balance 990v6 Action Bronson Baklava,New Balance,220,2023-03-17,320,450,844,251,0.13197,281,0.586,403,349,feetflix/New Balance 990v6 Action Bronson Baklava.jpg
Nike Dunk Low Retro White Black Panda 2021,Nike,110,2021-03-10,139,165,697,0,0.046333,233962,0.318,191,145,feetflix/Nike Dunk Low Retro White Black Panda 2021.jpg
Nike Dunk Low Retro White Black Panda 2021 W,Nike,100,2021-03-10,130,141,308,110,0.059427,109763,0.44,179,144,feetflix/Nike Dunk Low Retro White Black Panda 2021 W.jpg
Nike Dunk Low Grey Fog,Nike,100,2021-09-21,145,265,569,120,0.09535,25651,0.69,216,169,feetflix/Nike Dunk Low Grey Fog.jpg
Nike Dunk Low Retro White Black Panda 2021 GS,Nike,85,2021-03-10,112,126,278,88,0.042461,87660,0.529,162,130,feetflix/Nike Dunk Low Retro White Black Panda 2021 GS.jpg
Nike Air Force 1 Low '07 White,Nike,110,2007-11-24,87,90,258,28,0.121198,113300,0.147,113,127,feetflix/Nike Air Force 1 Low '07 White.jpg
Nike Dunk Low SE Sand Drift W,Nike,120,2023-03-04,127,145,244,105,0.063113,3175,0.108,155,133,feetflix/Nike Dunk Low SE Sand Drift W.jpg
Air Jordan 5 Retro UNC University Blue,Jordan,225,2023-03-04,225,255,750,150,0.064158,10845,0.164,264,262,feetflix/Jordan 5 Retro UNC University Blue.jpg
Nike Dunk Low Industrial Blue Sashiko,Nike,120,2023-03-09,119,135,213,100,0.055513,4522,0.277,137,154,feetflix/Nike Dunk Low Industrial Blue Sashiko.jpg
Nike Dunk Low Retro Miami Hurricanes,Nike,110,2022-10-01,84,220,254,74,0.215143,13325,-0.127,120,96,feetflix/Nike Dunk Low Retro Miami Hurricanes.jpg
Nike Dunk Low Light Orewood Brown Sashiko,Nike,120,2023-03-09,124,137,252,106,0.127075,4008,0.075,147,129,feetflix/Nike Dunk Low Light Orewood Brown Sashiko.jpg
Nike Dunk Low Rose Whisper W,Nike,100,2022-03-01,119,135,310,111,0.082742,27179,0.24,167,124,feetflix/Nike Dunk Low Rose Whisper W.jpg
Nike Dunk Low Retro Red Swoosh Panda,Nike,110,2022-10-01,102,180,257,78,0.045157,11194,-0.045,130,105,feetflix/Nike Dunk Low Retro Red Swoosh Panda.jpg
Nike SB Dunk Low Pro White Gum,Nike,110,2023-03-01,143,168,363,121,0.042257,6730,0.573,167,173,feetflix/Nike SB Dunk Low Pro White Gum.jpg
Air Jordan 4 Retro SE Craft Photon Dust,Jordan,210,2023-02-11,164,247,650,131,0.081714,7146,0.171,279,246,feetflix/Jordan 4 Retro SE Craft Photon Dust.jpg
Air Jordan 4 Retro Seafoam W,Jordan,210,2023-02-09,221,278,504,197,0.117782,6780,0.19,285,250,feetflix/Jordan 4 Retro Seafoam W.jpg
Nike Air Force 1 Low Supreme White,Nike,96,2020-03-05,140,181,610,22,0.130324,32532,0.798,165,173,feetflix/Nike Air Force 1 Low Supreme White.jpg
Air Jordan 1 Mid SE Space Jam,Jordan,135,2023-01-23,123,170,400,115,0.124374,6389,0.185,158,160,feetflix/Jordan 1 Mid SE Space Jam.jpg
Nike Dunk Low Next Nature White Black Panda W,Nike,100,2021-11-03,131,175,315,90,0.042696,25518,0.35,171,135,feetflix/Nike Dunk Low Next Nature White Black Panda W.jpg
Nike Dunk Low Summit White Midnight Navy,Nike,110,2023-01-31,126,158,295,112,0.086129,4003,0.275,144,141,feetflix/Nike Dunk Low Summit White Midnight Navy.jpg
Air Jordan 1 Retro High OG Skyline,Jordan,180,2023-04-08,154,200,430,100,0.095113,597,0.097,200,198,feetflix/Jordan 1 Retro High OG Skyline.jpg
New Balance 550 White Green,New Balance,120,2021-06-24,126,160,920,101,0.119007,19853,0.3,209,156,feetflix/New Balance 550 White Green.jpg
Nike Air Force 1 Low SP AMBUSH Black,Nike,190,2023-02-28,150,202,436,101,0.095798,1313,0.226,210,233,feetflix/Nike Air Force 1 Low SP AMBUSH Black.jpg
Air Jordan 3 Retro White Cement Reimagined GS,Jordan,150,2023-03-11,128,150,245,112,0.139993,2212,0.0,162,150,feetflix/Jordan 3 Retro White Cement Reimagined GS.jpg
adidas Yeezy Slide Onyx,adidas,60,2022-03-07,148,260,425,57,0.106173,112758,2.937,145,237,feetflix/adidas Yeezy Slide Onyx.jpg
Air Jordan 11 Retro Cherry 2022,Jordan,225,2022-12-10,192,270,683,0,0.125715,45330,0.027,277,231,feetflix/Jordan 11 Retro Cherry 2022.jpg
adidas Samba OG Cloud White Core Black,adidas,100,2018-01-01,90,125,468,54,0.10556,7341,0.586,141,159,feetflix/adidas Samba OG Cloud White Core Black.jpg
Air Jordan 1 Retro High OG True Blue,Jordan,180,2023-01-14,132,175,486,98,0.085934,9441,0.018,182,184,feetflix/Jordan 1 Retro High OG True Blue.jpg
Nike KD 15 Aunt Pearl,Nike,150,2022-10-21,168,210,749,109,0.102153,6596,0.593,246,239,feetflix/Nike KD 15 Aunt Pearl.jpg
Nike Dunk Low Retro PRM Valentine's Day 2023,Nike,120,2023-02-07,126,154,397,101,0.079136,9671,0.117,156,134,feetflix/Nike Dunk Low Retro PRM Valentine's Day 2023.jpg
adidas Yeezy Slide Bone (2022 Restock),adidas,60,2022-05-31,160,200,367,79,0.103233,75879,2.433,136,206,feetflix/adidas Yeezy Slide Bone (2022 Restock).jpg
Air Jordan 1 Low SE Concord,Jordan,120,2023-01-17,132,205,300,107,0.104063,7696,0.15,148,138,feetflix/Jordan 1 Low SE Concord.jpg
