item,brand,retail,release,lowestAsk,highestBid,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,img_path,brand_enc
Jordan 4 Retro SB Pine Green,Jordan,0.20270270270270271,2023-03-21,0.16298811544991512,0.13795316008982994,0.13542153654355618,0.22257551669316378,0.08130265548650786,0.023039701808979927,0.08157099697885198,0.1489643014543852,0.1376715360779106,feetflix/Jordan 4 Retro SB Pine Green.jpg,8
Jordan 3 Retro White Cement Reimagined,Jordan,0.1891891891891892,2023-03-11,0.0865874363327674,0.0737888995829323,0.10503350475299984,0.1192368839427663,0.15310032058800532,0.07213692165646478,0.05700279313686371,0.10885852798589687,0.08764940239043825,feetflix/Jordan 3 Retro White Cement Reimagined.jpg,8
Nike Air Force 1 Low Tiffany & Co. 1837,Nike,0.36036036036036034,2023-03-07,0.4844368986983588,0.4735322425409047,0.7399096150849307,0.5604133545310016,0.3080427963119789,0.0200603563245905,0.11480362537764352,0.48920229175848395,0.3603364320495795,feetflix/Nike Air Force 1 Low Tiffany & Co. 1837.jpg,11
Nike Air Max 1 '86 Big Bubble Sport Red,Nike,0.13513513513513514,2023-03-26,0.07923033389926429,0.04812319538017325,0.07277544023687081,0.1192368839427663,0.12602991712952472,0.00250059843381322,0.062076041726044584,0.07844865579550464,0.06374501992031872,feetflix/Nike Air Max 1 '86 Big Bubble Sport Red.jpg,11
MSCHF Big Red Boot,MSCHF,0.3153153153153153,2023-02-16,0.30164119977362763,0.17998075072184794,0.3680847748168926,0.3958664546899841,0.24676529485747153,0.0013037308073727046,0.1289403180755857,0.3671220802115469,0.351925630810093,feetflix/MSCHF Big Red Boot.jpg,9
New Balance 990v6 Action Bronson Baklava,New Balance,0.1981981981981982,2023-03-17,0.16015846066779854,0.12832852101379533,0.1185912420134019,0.19952305246422894,0.17489871459980838,0.0011242006634066273,0.08407911987687397,0.15557514323490526,0.1385568835768039,feetflix/New Balance 990v6 Action Bronson Baklava.jpg,10
Nike Dunk Low Retro White Black Panda (2021),Nike,0.0990990990990991,2021-03-10,0.05772495755517827,0.03689444979146615,0.09568334112513636,0.0,0.06140472943512102,0.9999999999999999,0.0688023713161945,0.0621419127368885,0.048251438689685705,feetflix/Nike Dunk Low Retro White Black Panda (2021).jpg,11
Nike Dunk Low Retro White Black Panda (2021) (Women's),Nike,0.09009009009009009,2021-03-10,0.05263157894736842,0.029194738530638434,0.03506311360448808,0.08744038155802862,0.07875809587423514,0.4691079916561228,0.07575671207889187,0.056853239312472464,0.04780876494023904,feetflix/Nike Dunk Low Retro White Black Panda (2021) (Women's).jpg,11
Nike Dunk Low Grey Fog,Nike,0.09009009009009009,2021-09-21,0.06112054329371816,0.06897658004491498,0.07573632538569425,0.09538950715421304,0.12636654116156495,0.1095689566733919,0.0900074103631078,0.07315998237108859,0.0588756086764055,feetflix/Nike Dunk Low Grey Fog.jpg,11
Nike Dunk Low Retro White Black Panda (2021) (GS),Nike,0.07657657657657657,2021-03-10,0.042444821731748725,0.024382418992621106,0.030388031790556335,0.0699523052464229,0.05627320088370435,0.37462811613035596,0.08082996066807274,0.0493609519612164,0.04161133244798584,feetflix/Nike Dunk Low Retro White Black Panda (2021) (GS).jpg,11
Nike Air Force 1 Low '07 White,Nike,0.0990990990990991,2007-11-24,0.028296547821165818,0.012832852101379529,0.027271310581268502,0.022257551669316377,0.1606226749417866,0.4842269944944089,0.059054893689790805,0.027765535478184226,0.040283311199645865,feetflix/Nike Air Force 1 Low '07 White.jpg,11
Nike Dunk Low SE Sand Drift (Women's),Nike,0.10810810810810811,2023-03-04,0.05093378607809847,0.030478023740776385,0.025089605734767022,0.08346581875993642,0.0836431202132129,0.013494682488116813,0.056831784757453124,0.046275892463640375,0.04293935369632581,feetflix/Nike Dunk Low SE Sand Drift (Women's).jpg,11
Jordan 5 Retro UNC University Blue,Jordan,0.20270270270270271,2023-03-04,0.10639501980758348,0.0657683670195701,0.1039426523297491,0.1192368839427663,0.08502804979385092,0.04628030639811237,0.06002394117311749,0.09431467606875277,0.10004426737494466,feetflix/Jordan 5 Retro UNC University Blue.jpg,8
