,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,changePercentage
0,Jordan 4 Retro SB Pine Green,Jordan,225,2023-03-21,325,1995,2675,480,3697,952,280,0.061347,5408,0.542,388,347,0.0
1,Jordan 3 Retro White Cement Reimagined,Jordan,210,2023-03-11,190,2361,1289,280,2597,757,150,0.115522,16894,0.111,297,234,0.016666
2,Nike Air Force 1 Low Tiffany & Co. 1837,Nike,400,2023-03-07,893,1310,282,1526,2436,4831,705,0.232434,4711,1.125,1160,850,-0.132653
3,Nike Air Max 1 '86 Big Bubble Sport Red,Nike,150,2023-03-26,177,704,240,200,366,550,150,0.095096,603,0.2,228,180,0.0
4,MSCHF Big Red Boot,MSCHF,350,2023-02-16,570,334,68,611,345,2445,498,0.186197,323,1.373,883,831,0.037438
5,New Balance 990v6 Action Bronson Baklava,New Balance,220,2023-03-17,320,173,58,450,378,844,251,0.13197,281,0.586,403,349,0.002874
6,Nike Dunk Low Retro White Black Panda (2021),Nike,110,2021-03-10,139,3773,2028,165,1216,697,0,0.046333,233962,0.318,191,145,-0.058442
7,Nike Dunk Low Retro White Black Panda (2021) (Women's),Nike,100,2021-03-10,130,3297,1168,141,648,308,110,0.059427,109763,0.44,179,144,0.116279
8,Nike Dunk Low Grey Fog,Nike,100,2021-09-21,145,2638,938,265,1556,569,120,0.09535,25651,0.69,216,169,0.018072
9,Nike Dunk Low Retro White Black Panda (2021) (GS),Nike,85,2021-03-10,112,2084,791,126,466,278,88,0.042461,87660,0.529,162,130,-0.004937
10,Nike Air Force 1 Low '07 White,Nike,110,2007-11-24,87,1955,640,90,632,258,28,0.121198,113300,0.147,113,127,0.044643
11,Nike Dunk Low SE Sand Drift (Women's),Nike,120,2023-03-04,127,897,600,145,490,244,105,0.063113,3175,0.108,155,133,-0.101351
12,Jordan 5 Retro UNC University Blue,Jordan,225,2023-03-04,225,2520,507,255,1263,750,150,0.064158,10845,0.164,264,262,0.190909
13,Nike Dunk Low Industrial Blue Sashiko,Nike,120,2023-03-09,119,1366,457,135,645,213,100,0.055513,4522,0.277,137,154,0.143811
14,Nike Dunk Low Retro Miami Hurricanes,Nike,110,2022-10-01,84,1159,407,220,291,254,74,0.215143,13325,-0.127,120,96,0.116279
15,Nike Dunk Low Light Orewood Brown Sashiko,Nike,120,2023-03-09,124,734,383,137,517,252,106,0.127075,4008,0.075,147,129,-0.292339
16,Nike Dunk Low Rose Whisper (Women's),Nike,100,2022-03-01,119,2360,348,135,430,310,111,0.082742,27179,0.24,167,124,-0.110495
17,Nike Dunk Low Retro Red Swoosh Panda,Nike,110,2022-10-01,102,2596,307,180,278,257,78,0.045157,11194,-0.045,130,105,-0.060099
18,Nike SB Dunk Low Pro White Gum,Nike,110,2023-03-01,143,698,303,168,533,363,121,0.042257,6730,0.573,167,173,0.08805
19,Jordan 4 Retro SE Craft Photon Dust,Jordan,210,2023-02-11,164,3757,288,247,1244,650,131,0.081714,7146,0.171,279,246,0.018144
20,Jordan 4 Retro Seafoam (Women's),Jordan,210,2023-02-09,221,2294,280,278,1193,504,197,0.117782,6780,0.19,285,250,-0.126373
21,Nike Air Force 1 Low Supreme White,Nike,96,2020-03-05,140,1989,260,181,866,610,22,0.130324,32532,0.798,165,173,0.254692
22,Jordan 1 Mid SE Space Jam,Jordan,135,2023-01-23,123,699,253,170,463,400,115,0.124374,6389,0.185,158,160,-0.154057
23,Nike Dunk Low Next Nature White Black Panda (Women's),Nike,100,2021-11-03,131,1565,251,175,242,315,90,0.042696,25518,0.35,171,135,-0.007353
24,Nike Dunk Low Summit White Midnight Navy,Nike,110,2023-01-31,126,802,246,158,483,295,112,0.086129,4003,0.275,144,141,-0.117809
25,Jordan 1 Retro High OG Skyline,Jordan,180,2023-04-08,154,688,245,200,371,430,100,0.095113,597,0.097,200,198,0.096621
26,New Balance 550 White Green,New Balance,120,2021-06-24,126,767,243,160,422,920,101,0.119007,19853,0.3,209,156,-0.025
27,Nike Air Force 1 Low SP AMBUSH Black,Nike,190,2023-02-28,150,668,234,202,469,436,101,0.095798,1313,0.226,210,233,0.00431
28,Jordan 3 Retro White Cement Reimagined (GS),Jordan,150,2023-03-11,128,1859,227,150,225,245,112,0.139993,2212,0.0,162,150,0.0
29,adidas Yeezy Slide Onyx,adidas,60,2022-03-07,148,1128,225,260,469,425,57,0.106173,112758,2.937,145,237,0.16366
30,Jordan 11 Retro Cherry (2022),Jordan,225,2022-12-10,192,2957,223,270,531,683,0,0.125715,45330,0.027,277,231,0.004348
31,adidas Samba OG Cloud White Core Black,adidas,100,2018-01-01,90,986,221,125,292,468,54,0.10556,7341,0.586,141,159,0.238755
32,Jordan 1 Retro High OG True Blue,Jordan,180,2023-01-14,132,1604,217,175,615,486,98,0.085934,9441,0.018,182,184,0.065619
33,Nike KD 15 Aunt Pearl,Nike,150,2022-10-21,168,749,212,210,131,749,109,0.102153,6596,0.593,246,239,0.004202
34,Nike Dunk Low Retro PRM Valentine's Day (2023),Nike,120,2023-02-07,126,1602,211,154,504,397,101,0.079136,9671,0.117,156,134,0.0
35,adidas Yeezy Slide Bone (2022 Restock),adidas,60,2022-05-31,160,1261,210,200,431,367,79,0.103233,75879,2.433,136,206,-0.019048
36,Jordan 1 Low SE Concord,Jordan,120,2023-01-17,132,1227,205,205,655,300,107,0.104063,7696,0.15,148,138,0.095238
37,Nike Air Zoom Generation First Game (2023),Nike,180,2023-03-21,180,138,196,300,237,399,180,0.046294,241,0.267,232,228,0.036364
38,Jordan 1 Retro High OG Chicago Lost and Found,Jordan,180,2022-11-19,269,2815,196,445,2119,2000,205,0.065939,31685,1.593,420,467,0.135534
39,Jordan 4 Retro Midnight Navy,Jordan,210,2022-10-29,250,2716,189,330,849,720,194,0.064782,24564,0.31,309,275,0.0
40,New Balance 530 White Silver Navy,New Balance,95,2021-02-17,99,516,187,156,186,209,50,0.10873,23539,0.449,101,138,0.449279
41,Nike Dunk Low Arizona State,Nike,100,2022-11-25,76,1462,187,110,176,285,75,0.059872,6015,-0.15,107,85,0.0625
42,Nike Air Force 1 Low SP AMBUSH Phantom,Nike,190,2023-02-28,185,977,186,247,906,429,130,0.11796,2508,0.321,235,251,0.016194
43,Nike Air Force 1 Low '07 Black Black,Nike,90,2017-09-22,83,575,173,115,202,230,60,0.165615,27192,0.211,113,109,-0.069655
44,Nike Air Force 1 Low Supreme Black,Nike,96,2020-03-05,143,1185,172,176,484,352,118,0.065124,17153,0.742,163,168,0.122079
45,Nike Dunk Low Active Fuchsia (GS),Nike,90,2023-03-01,109,543,171,150,360,218,91,0.103322,3170,0.622,142,146,0.149606
46,Jordan 6 Retro Cool Grey,Jordan,200,2023-02-25,170,608,169,179,315,343,130,0.0,4208,-0.12,187,176,-0.068783
47,New Balance 550 White Grey,New Balance,100,2022-01-14,83,1245,165,150,270,336,67,0.25758,35197,-0.165,140,84,-0.417855
48,Nike Dunk High Panda Black White (2021),Nike,110,2022-01-27,113,1701,164,186,266,250,41,0.091388,39318,0.196,138,132,0.119266
49,adidas Samba Vegan White Gum,adidas,90,2021-06-16,93,508,164,141,292,483,41,0.172871,8156,0.474,134,133,-0.010132
50,Nike Dunk Low Phantom Metallic Gold (Women's),Nike,110,2022-11-01,133,667,159,142,321,234,110,0.0,4978,0.291,149,142,0.028986
51,Puma LaMelo Ball MB.02 Rick & Morty Adventures,Puma,130,2023-02-17,130,949,159,201,286,450,110,0.164253,3452,0.154,160,150,0.145038
52,Jordan 13 Retro Playoffs (2023),Jordan,210,2023-02-18,171,1138,157,225,522,352,101,0.090912,8891,0.043,225,219,0.073529
53,Nike Blazer Mid 77 Vintage White Black,Nike,100,2019-03-25,63,621,156,76,212,199,45,0.205946,17250,-0.42,83,58,-0.04918
54,Nike SB Dunk Low Pro Black Gum,Nike,110,2023-03-01,126,1227,151,160,397,300,69,0.049293,4075,0.318,153,145,0.0
55,adidas Yeezy Slide Flax,adidas,70,2022-08-22,92,1545,148,168,298,248,50,0.160002,32125,1.371,98,166,0.148485
56,Nike Dunk Low Retro White Pure Platinum,Nike,110,2022-11-19,120,499,146,128,228,250,80,0.057885,2309,0.064,131,117,-0.113636
57,adidas Samba OG Black White Gum,adidas,80,2018-06-01,92,638,145,121,212,444,45,0.20948,5535,0.338,139,108,-0.100519
58,Nike Dunk Low Retro QS Argon (2022),Nike,130,2022-09-23,135,1207,143,175,290,344,95,0.131544,21600,0.269,149,166,0.006296
59,Jordan 4 Retro Military Black,Jordan,210,2022-05-21,346,1928,135,450,873,918,201,0.100964,46171,1.199,351,462,0.051898
60,Nike Dunk High Panda (2021) (Women's),Nike,110,2021-07-27,112,1195,131,122,203,206,90,0.08342,31036,0.127,139,124,-0.135645
61,Nike Air Max 1 PRM Dirty Denim,Nike,150,2022-08-26,82,834,131,114,230,410,64,0.195904,4898,-0.367,149,95,0.15757
62,adidas Yeezy Slide Resin (2022),adidas,70,2022-09-24,91,1145,130,155,243,208,40,0.158303,19902,0.614,99,113,-0.07377
63,Jordan 1 Low SE Reverse Ice Blue (Women's),Jordan,90,2023-01-09,115,1972,130,121,257,276,100,0.093326,1849,0.378,131,124,0.059829
64,Jordan 1 Retro High OG Patent Bred,Jordan,170,2021-12-30,213,2303,129,314,627,473,0,0.105032,32313,0.329,262,226,0.136501
65,Jordan 5 Retro Aqua,Jordan,200,2023-02-04,178,578,129,259,398,400,100,0.107233,4642,-0.11,195,178,0.0
66,Nike Dunk Low Retro Reverse Brazil,Nike,110,2023-02-15,105,1081,128,155,242,383,80,0.05214,3007,0.145,125,126,0.125
67,Jordan 1 Retro High 85 Black White (2023),Jordan,200,2023-02-15,273,1520,127,375,1340,589,244,0.110009,4953,0.3,325,261,0.040674
68,Nike Dunk Low QS LeBron James Fruity Pebbles,Nike,120,2022-11-08,129,1229,126,188,333,469,100,0.10209,17009,0.269,147,153,0.171673
69,Jordan 11 Retro Cool Grey (2021),Jordan,225,2021-12-11,174,1665,121,381,515,530,101,0.214291,27806,0.262,298,284,-0.152239
70,Jordan 4 Retro A Ma Maniére Violet Ore,Jordan,225,2022-11-23,243,1711,121,511,1329,1266,0,0.11708,13103,1.042,409,460,0.126126
71,Jordan 1 Low Unity (Women's),Jordan,110,2023-03-06,126,596,121,127,90,224,118,0.091778,386,0.136,144,125,-0.094927
72,Nike Dunk Low Retro White Black Panda (2021) (PS),Nike,65,2021-03-10,80,757,120,155,144,275,25,0.062408,20306,0.369,85,89,0.126582
73,Jordan 1 Low True Blue,Jordan,110,2023-01-17,117,796,119,150,264,270,99,0.082372,4351,0.236,131,136,0.142093
74,Jordan 1 Mid White Metallic Gold Obsidian,Jordan,110,2019-08-01,120,914,119,136,246,658,101,0.070564,2221,0.1,149,121,-0.140466
75,Jordan 1 Mid SE Ice Blue (2023),Jordan,135,2023-03-01,125,460,119,156,364,220,98,0.139299,1205,-0.037,145,130,-0.155966
76,Nike Dunk Low Next Nature White Mint (Women's),Nike,100,2022-03-11,104,2291,118,151,283,354,69,0.074076,17548,0.402,152,141,0.348305
77,Nike SB Dunk Low Pro Why So Sad?,Nike,120,2022-11-04,167,1215,118,335,616,779,125,0.160034,17341,1.015,212,242,0.168055
78,Jordan 1 Retro High OG Gorge Green,Jordan,180,2022-12-20,133,1034,117,208,437,584,0,0.185281,6736,-0.278,182,130,-0.22619
79,Jordan 1 Low Bred Toe,Jordan,100,2021-12-08,125,1525,115,133,340,250,70,0.108082,27799,0.378,138,138,0.03633
80,Nike Air Max 1 '87 Great Indoors (Women's),Nike,150,2023-03-15,150,281,113,192,325,501,91,0.306129,419,0.075,193,162,0.771335
81,Crocs Pollex Clog by Salehe Bembury Sasquatch,Crocs,85,2022-11-10,107,910,112,120,193,681,70,0.095295,10751,0.741,115,148,0.286957
82,Jordan 6 Retro Chrome Metallic Silver,Jordan,200,2022-11-26,207,450,111,350,303,394,76,0.11498,12150,0.161,221,233,0.160579
83,Jordan 1 Retro Low OG SP Travis Scott Black Phantom,Jordan,150,2022-12-15,447,1525,110,702,1182,2676,363,0.080052,10734,3.749,711,713,0.058452
84,adidas Yeezy Boost 350 V2 Bone,adidas,230,2022-03-21,228,1671,109,291,518,436,122,0.088451,42641,0.174,268,270,-0.007353
85,Jordan 1 Retro High OG White Cement,Jordan,180,2023-02-25,141,1794,106,170,489,401,127,0.063876,1218,-0.191,182,146,-0.029221
86,adidas Yeezy Boost 350 V2 Onyx,adidas,230,2022-03-05,333,797,105,400,480,1100,238,0.058127,18752,0.478,320,340,-0.008746
